fips,Total Cases,Total Deaths,Count
19081.0,636,0,84
19079.0,1748,0,71
13079.0,1342,0,71
19075.0,941,0,72
19073.0,637,0,69
19071.0,133,0,38
19069.0,672,0,70
12093.0,3287,0,75
19159.0,118,0,27
19065.0,1379,0,86
19161.0,643,0,45
19063.0,541,0,33
19083.0,910,0,80
13265.0,46,0,43
19167.0,8602,0,85
19059.0,1290,0,80
13101.0,3233,0,70
19173.0,1389,0,79
12067.0,334,0,68
12059.0,929,0,77
12049.0,3807,0,75
19053.0,39,0,19
12045.0,135,0,75
12041.0,618,0,69
19175.0,262,0,66
13105.0,2990,0,73
13267.0,1035,0,85
12037.0,145,0,73
19151.0,450,0,49
16017.0,326,0,77
13043.0,669,0,78
19129.0,660,0,72
19125.0,1267,0,70
19133.0,1120,0,81
13023.0,1853,0,77
13047.0,5508,0,84
19119.0,1040,0,73
19109.0,394,0,85
19107.0,582,0,79
13211.0,2076,0,84
19105.0,1914,0,77
13053.0,3446,0,80
19085.0,1405,0,94
19101.0,1040,0,74
19097.0,568,0,77
19095.0,1661,0,80
13209.0,439,0,65
19093.0,390,0,34
12123.0,834,0,69
19143.0,1414,0,66
19145.0,639,0,81
19089.0,622,0,72
1057.0,729,0,77
19147.0,188,0,38
13201.0,2291,0,87
1061.0,1428,0,64
1045.0,4341,0,75
19041.0,906,0,76
19131.0,245,0,75
19185.0,65,0,45
19025.0,222,0,45
19191.0,1206,0,89
19197.0,4997,0,80
13147.0,1335,0,80
1105.0,1617,0,67
16003.0,191,0,76
19001.0,331,0,90
19003.0,166,0,29
13109.0,293,0,64
8111.0,42,0,40
15007.0,1596,0,93
15001.0,5011,0,90
8121.0,1247,0,81
19189.0,410,0,70
13309.0,531,0,79
8125.0,1191,0,89
13301.0,1000,0,77
13305.0,1029,0,72
8113.0,1410,0,87
19029.0,333,0,63
19015.0,2560,0,79
1113.0,7262,0,82
16011.0,520,0,87
19037.0,481,0,70
19035.0,998,0,55
19177.0,607,0,77
18179.0,1213,0,93
13169.0,2130,0,82
16009.0,282,0,21
13283.0,444,0,70
1083.0,5263,0,94
1079.0,2032,0,82
13125.0,39,0,39
51630.0,5874,1,82
55045.0,2544,1,87
26009.0,749,1,77
5061.0,1211,1,81
5083.0,356,1,70
37165.0,3271,1,85
48071.0,3764,1,83
5113.0,1041,1,88
16019.0,2465,1,79
47099.0,1636,2,77
47089.0,1732,2,94
17057.0,416,2,66
39087.0,1756,2,82
47185.0,1298,2,82
8105.0,1169,2,81
48153.0,415,3,68
28147.0,3095,3,88
54079.0,1899,3,86
17135.0,2039,3,78
33001.0,3310,3,89
42065.0,490,3,69
1075.0,1149,3,87
31173.0,1417,3,51
39027.0,2439,3,85
17073.0,3627,3,80
42093.0,3509,3,86
22059.0,2431,3,81
48191.0,48,4,26
27097.0,1475,4,57
13019.0,1879,4,77
47105.0,5488,4,85
48063.0,2287,4,75
46127.0,3500,4,80
51009.0,1312,4,85
5003.0,1281,4,78
23023.0,1689,4,86
21149.0,1108,5,71
19111.0,1122,5,72
37009.0,1302,5,72
31147.0,33,5,33
29199.0,318,5,69
31065.0,325,5,58
28127.0,4362,5,86
5017.0,907,5,81
40105.0,1419,6,79
46079.0,407,6,74
36025.0,4724,6,95
19141.0,1427,6,74
13295.0,5987,6,76
21123.0,476,6,80
21103.0,814,6,76
36003.0,2814,7,91
19051.0,796,7,47
1133.0,2913,8,80
41045.0,1221,8,76
26033.0,153,8,84
51155.0,862,9,73
18131.0,1946,9,70
27093.0,1697,9,77
48053.0,1847,9,82
19039.0,1715,9,71
48437.0,816,9,78
31051.0,1187,9,56
27143.0,559,9,81
27111.0,2414,10,78
54071.0,428,10,74
19019.0,1551,10,83
27151.0,608,10,69
31157.0,4189,10,78
46093.0,590,10,82
26101.0,829,10,83
48265.0,709,10,75
19181.0,5117,11,83
20067.0,674,11,52
48481.0,3324,11,82
37175.0,694,11,83
42047.0,304,11,69
54087.0,473,11,77
22021.0,2859,11,74
22123.0,1900,11,70
51063.0,248,11,67
30003.0,827,11,66
51077.0,1312,11,48
19027.0,563,11,95
23013.0,1242,12,84
